PRISM Time Series Data,,,,,,
Locations: 8,,,,,,
Climate variable: ppt,,,,,,
Spatial resolution: 4km,,,,,,
Period: 1996-12-01 - 1997-02-28,,,,,,
Dataset: AN81d,,,,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,,,,
Grid Cell Interpolation: Off,,,,,,
Time series generated: 2021-Jun-03,,,,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,,,,
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),Slide
Location 2,-122.3811,47.636,82,1/2/1997,0.95,0
Location 2,-122.3811,47.636,82,1/3/1997,1.03,0
Location 2,-122.3811,47.636,82,1/4/1997,0,0
Location 2,-122.3811,47.636,82,1/5/1997,0.01,0
Location 2,-122.3811,47.636,82,1/6/1997,0,0
Location 2,-122.3811,47.636,82,1/7/1997,0.24,0
Location 2,-122.3811,47.636,82,1/8/1997,0,0
Location 2,-122.3811,47.636,82,1/9/1997,0.11,0
Location 2,-122.3811,47.636,82,1/10/1997,0.04,0
Location 2,-122.3811,47.636,82,1/11/1997,0.01,0
Location 2,-122.3811,47.636,82,1/12/1997,0,0
Location 2,-122.3811,47.636,82,1/13/1997,0,0
Location 2,-122.3811,47.636,82,1/14/1997,0,0
Location 2,-122.3811,47.636,82,1/15/1997,0,0
Location 2,-122.3811,47.636,82,1/16/1997,0,0
Location 2,-122.3811,47.636,82,1/17/1997,0.6,0
Location 2,-122.3811,47.636,82,1/18/1997,0.68,0
Location 2,-122.3811,47.636,82,1/19/1997,0.73,0
Location 2,-122.3811,47.636,82,1/20/1997,0.53,0
Location 2,-122.3811,47.636,82,1/21/1997,0.48,0
Location 2,-122.3811,47.636,82,1/22/1997,0.11,0
Location 2,-122.3811,47.636,82,1/23/1997,0.03,0
Location 2,-122.3811,47.636,82,1/24/1997,0,0
Location 2,-122.3811,47.636,82,1/25/1997,0,0
Location 2,-122.3811,47.636,82,1/26/1997,0,0
Location 2,-122.3811,47.636,82,1/27/1997,0,0
Location 2,-122.3811,47.636,82,1/28/1997,0.53,0
Location 2,-122.3811,47.636,82,1/29/1997,0.01,0
Location 2,-122.3811,47.636,82,1/30/1997,0.68,0
Location 2,-122.3811,47.636,82,1/31/1997,0.16,0
Location 2,-122.3811,47.636,82,2/1/1997,0.32,0
Location 2,-122.3811,47.636,82,2/2/1997,0.06,0
Location 2,-122.3811,47.636,82,2/3/1997,0.08,0
Location 2,-122.3811,47.636,82,2/4/1997,0,0
Location 2,-122.3811,47.636,82,2/5/1997,0,0
Location 2,-122.3811,47.636,82,2/6/1997,0,0
Location 2,-122.3811,47.636,82,2/7/1997,0.09,0
Location 2,-122.3811,47.636,82,2/8/1997,0.02,0
Location 2,-122.3811,47.636,82,2/9/1997,0.01,0
Location 2,-122.3811,47.636,82,2/10/1997,0,0
Location 2,-122.3811,47.636,82,2/11/1997,0,0
Location 2,-122.3811,47.636,82,2/12/1997,0.45,0
Location 2,-122.3811,47.636,82,2/13/1997,0.02,0
Location 2,-122.3811,47.636,82,2/14/1997,0.16,0
Location 2,-122.3811,47.636,82,2/15/1997,0.23,0
Location 2,-122.3811,47.636,82,2/16/1997,0,0
Location 2,-122.3811,47.636,82,2/17/1997,0.11,0
Location 2,-122.3811,47.636,82,2/18/1997,0,0
Location 2,-122.3811,47.636,82,2/19/1997,0.5,0
Location 2,-122.3811,47.636,82,2/20/1997,0.16,0
Location 2,-122.3811,47.636,82,2/21/1997,0,0
Location 2,-122.3811,47.636,82,2/22/1997,0,0
Location 2,-122.3811,47.636,82,2/23/1997,0,0
Location 2,-122.3811,47.636,82,2/24/1997,0,0
Location 2,-122.3811,47.636,82,2/25/1997,0,0
Location 2,-122.3811,47.636,82,2/26/1997,0.04,0
Location 2,-122.3811,47.636,82,2/27/1997,0.1,0
Location 2,-122.3811,47.636,82,2/28/1997,0.01,0
,,,,,,0
Location 3,-122.3848,47.6357,82,12/1/1996,0.38,0
Location 3,-122.3848,47.6357,82,12/2/1996,0.1,0
Location 3,-122.3848,47.6357,82,12/3/1996,0.19,0
Location 3,-122.3848,47.6357,82,12/4/1996,0.09,0
Location 3,-122.3848,47.6357,82,12/5/1996,1.07,0
Location 3,-122.3848,47.6357,82,12/6/1996,0.18,0
Location 3,-122.3848,47.6357,82,12/7/1996,0.33,0
Location 3,-122.3848,47.6357,82,12/8/1996,0.61,0
Location 3,-122.3848,47.6357,82,12/9/1996,0.3,0
Location 3,-122.3848,47.6357,82,12/10/1996,0.19,0
Location 3,-122.3848,47.6357,82,12/11/1996,0.24,0
Location 3,-122.3848,47.6357,82,12/12/1996,0.21,0
Location 3,-122.3848,47.6357,82,12/13/1996,0.25,0
Location 3,-122.3848,47.6357,82,12/14/1996,0.09,0
Location 3,-122.3848,47.6357,82,12/15/1996,0,0
Location 3,-122.3848,47.6357,82,12/16/1996,0.07,0
Location 3,-122.3848,47.6357,82,12/17/1996,0,0
Location 3,-122.3848,47.6357,82,12/18/1996,0,0
Location 3,-122.3848,47.6357,82,12/19/1996,0,0
Location 3,-122.3848,47.6357,82,12/20/1996,0.11,0
Location 3,-122.3848,47.6357,82,12/21/1996,0.15,0
Location 3,-122.3848,47.6357,82,12/22/1996,0.16,0
Location 3,-122.3848,47.6357,82,12/23/1996,0.14,0
Location 3,-122.3848,47.6357,82,12/24/1996,0.18,0
Location 3,-122.3848,47.6357,82,12/25/1996,0.49,0
Location 3,-122.3848,47.6357,82,12/26/1996,0.03,0
Location 3,-122.3848,47.6357,82,12/27/1996,1.13,0
Location 3,-122.3848,47.6357,82,12/28/1996,0,0
Location 3,-122.3848,47.6357,82,12/29/1996,0.77,0
Location 3,-122.3848,47.6357,82,12/30/1996,1.58,0
Location 3,-122.3848,47.6357,82,12/31/1996,0.74,0
Location 3,-122.3848,47.6357,82,1/1/1997,1.29,1
Location 3,-122.3848,47.6357,82,1/2/1997,0.95,0
Location 3,-122.3848,47.6357,82,1/3/1997,1.03,0
Location 3,-122.3848,47.6357,82,1/4/1997,0,0
Location 3,-122.3848,47.6357,82,1/5/1997,0.01,0
Location 3,-122.3848,47.6357,82,1/6/1997,0,0
Location 3,-122.3848,47.6357,82,1/7/1997,0.24,0
Location 3,-122.3848,47.6357,82,1/8/1997,0,0
Location 3,-122.3848,47.6357,82,1/9/1997,0.11,0
Location 3,-122.3848,47.6357,82,1/10/1997,0.04,0
Location 3,-122.3848,47.6357,82,1/11/1997,0.01,0
Location 3,-122.3848,47.6357,82,1/12/1997,0,0
Location 3,-122.3848,47.6357,82,1/13/1997,0,0
Location 3,-122.3848,47.6357,82,1/14/1997,0,0
Location 3,-122.3848,47.6357,82,1/15/1997,0,0
Location 3,-122.3848,47.6357,82,1/16/1997,0,0
Location 3,-122.3848,47.6357,82,1/17/1997,0.6,0
Location 3,-122.3848,47.6357,82,1/18/1997,0.68,0
Location 3,-122.3848,47.6357,82,1/19/1997,0.73,0
Location 3,-122.3848,47.6357,82,1/20/1997,0.53,0
Location 3,-122.3848,47.6357,82,1/21/1997,0.48,0
Location 3,-122.3848,47.6357,82,1/22/1997,0.11,0
Location 3,-122.3848,47.6357,82,1/23/1997,0.03,0
Location 3,-122.3848,47.6357,82,1/24/1997,0,0
Location 3,-122.3848,47.6357,82,1/25/1997,0,0
Location 3,-122.3848,47.6357,82,1/26/1997,0,0
Location 3,-122.3848,47.6357,82,1/27/1997,0,0
Location 3,-122.3848,47.6357,82,1/28/1997,0.53,0
Location 3,-122.3848,47.6357,82,1/29/1997,0.01,0
Location 3,-122.3848,47.6357,82,1/30/1997,0.68,0
Location 3,-122.3848,47.6357,82,1/31/1997,0.16,0
Location 3,-122.3848,47.6357,82,2/1/1997,0.32,0
Location 3,-122.3848,47.6357,82,2/2/1997,0.06,0
Location 3,-122.3848,47.6357,82,2/3/1997,0.08,0
Location 3,-122.3848,47.6357,82,2/4/1997,0,0
Location 3,-122.3848,47.6357,82,2/5/1997,0,0
Location 3,-122.3848,47.6357,82,2/6/1997,0,0
Location 3,-122.3848,47.6357,82,2/7/1997,0.09,0
Location 3,-122.3848,47.6357,82,2/8/1997,0.02,0
Location 3,-122.3848,47.6357,82,2/9/1997,0.01,0
Location 3,-122.3848,47.6357,82,2/10/1997,0,0
Location 3,-122.3848,47.6357,82,2/11/1997,0,0
Location 3,-122.3848,47.6357,82,2/12/1997,0.45,0
Location 3,-122.3848,47.6357,82,2/13/1997,0.02,0
Location 3,-122.3848,47.6357,82,2/14/1997,0.16,0
Location 3,-122.3848,47.6357,82,2/15/1997,0.23,0
Location 3,-122.3848,47.6357,82,2/16/1997,0,0
Location 3,-122.3848,47.6357,82,2/17/1997,0.11,0
Location 3,-122.3848,47.6357,82,2/18/1997,0,0
Location 3,-122.3848,47.6357,82,2/19/1997,0.5,0
Location 3,-122.3848,47.6357,82,2/20/1997,0.16,0
Location 3,-122.3848,47.6357,82,2/21/1997,0,0
Location 3,-122.3848,47.6357,82,2/22/1997,0,0
Location 3,-122.3848,47.6357,82,2/23/1997,0,0
Location 3,-122.3848,47.6357,82,2/24/1997,0,0
Location 3,-122.3848,47.6357,82,2/25/1997,0,0
Location 3,-122.3848,47.6357,82,2/26/1997,0.04,0
Location 3,-122.3848,47.6357,82,2/27/1997,0.1,0
Location 3,-122.3848,47.6357,82,2/28/1997,0.01,0
,,,,,,0
Location 4,-122.4147,47.6422,16,12/1/1996,0.44,0
Location 4,-122.4147,47.6422,16,12/2/1996,0.18,0
Location 4,-122.4147,47.6422,16,12/3/1996,0.22,0
Location 4,-122.4147,47.6422,16,12/4/1996,0.15,0
Location 4,-122.4147,47.6422,16,12/5/1996,1.04,0
Location 4,-122.4147,47.6422,16,12/6/1996,0.24,0
Location 4,-122.4147,47.6422,16,12/7/1996,0.41,0
Location 4,-122.4147,47.6422,16,12/8/1996,0.68,0
Location 4,-122.4147,47.6422,16,12/9/1996,0.28,0
Location 4,-122.4147,47.6422,16,12/10/1996,0.2,0
Location 4,-122.4147,47.6422,16,12/11/1996,0.27,0
Location 4,-122.4147,47.6422,16,12/12/1996,0.21,0
Location 4,-122.4147,47.6422,16,12/13/1996,0.31,0
Location 4,-122.4147,47.6422,16,12/14/1996,0.08,0
Location 4,-122.4147,47.6422,16,12/15/1996,0,0
Location 4,-122.4147,47.6422,16,12/16/1996,0.07,0
Location 4,-122.4147,47.6422,16,12/17/1996,0,0
Location 4,-122.4147,47.6422,16,12/18/1996,0,0
Location 4,-122.4147,47.6422,16,12/19/1996,0,0
Location 4,-122.4147,47.6422,16,12/20/1996,0.15,0
Location 4,-122.4147,47.6422,16,12/21/1996,0.15,0
Location 4,-122.4147,47.6422,16,12/22/1996,0.19,0
Location 4,-122.4147,47.6422,16,12/23/1996,0.15,0
Location 4,-122.4147,47.6422,16,12/24/1996,0.22,0
Location 4,-122.4147,47.6422,16,12/25/1996,0.49,0
Location 4,-122.4147,47.6422,16,12/26/1996,0.03,0
Location 4,-122.4147,47.6422,16,12/27/1996,1.16,0
Location 4,-122.4147,47.6422,16,12/28/1996,0,0
Location 4,-122.4147,47.6422,16,12/29/1996,0.78,0
Location 4,-122.4147,47.6422,16,12/30/1996,1.68,0
Location 4,-122.4147,47.6422,16,12/31/1996,0.8,0
Location 4,-122.4147,47.6422,16,1/1/1997,1.26,1
Location 4,-122.4147,47.6422,16,1/2/1997,0.99,0
Location 4,-122.4147,47.6422,16,1/3/1997,1.05,0
Location 4,-122.4147,47.6422,16,1/4/1997,0.04,0
Location 4,-122.4147,47.6422,16,1/5/1997,0.02,0
Location 4,-122.4147,47.6422,16,1/6/1997,0,0
Location 4,-122.4147,47.6422,16,1/7/1997,0.3,0
Location 4,-122.4147,47.6422,16,1/8/1997,0.05,0
Location 4,-122.4147,47.6422,16,1/9/1997,0.11,0
Location 4,-122.4147,47.6422,16,1/10/1997,0.04,0
Location 4,-122.4147,47.6422,16,1/11/1997,0.01,0
Location 4,-122.4147,47.6422,16,1/12/1997,0,0
Location 4,-122.4147,47.6422,16,1/13/1997,0,0
Location 4,-122.4147,47.6422,16,1/14/1997,0,0
Location 4,-122.4147,47.6422,16,1/15/1997,0,0
Location 4,-122.4147,47.6422,16,1/16/1997,0,0
Location 4,-122.4147,47.6422,16,1/17/1997,0.61,0
Location 4,-122.4147,47.6422,16,1/18/1997,0.73,0
Location 4,-122.4147,47.6422,16,1/19/1997,0.71,0
Location 4,-122.4147,47.6422,16,1/20/1997,0.53,0
Location 4,-122.4147,47.6422,16,1/21/1997,0.47,0
Location 4,-122.4147,47.6422,16,1/22/1997,0.11,0
Location 4,-122.4147,47.6422,16,1/23/1997,0.05,0
Location 4,-122.4147,47.6422,16,1/24/1997,0.04,0
Location 4,-122.4147,47.6422,16,1/25/1997,0,0
Location 4,-122.4147,47.6422,16,1/26/1997,0,0
Location 4,-122.4147,47.6422,16,1/27/1997,0,0
Location 4,-122.4147,47.6422,16,1/28/1997,0.52,0
Location 4,-122.4147,47.6422,16,1/29/1997,0.02,0
Location 4,-122.4147,47.6422,16,1/30/1997,0.72,0
Location 4,-122.4147,47.6422,16,1/31/1997,0.16,0
Location 4,-122.4147,47.6422,16,2/1/1997,0.3,0
Location 4,-122.4147,47.6422,16,2/2/1997,0.07,0
Location 4,-122.4147,47.6422,16,2/3/1997,0.09,0
Location 4,-122.4147,47.6422,16,2/4/1997,0,0
Location 4,-122.4147,47.6422,16,2/5/1997,0,0
Location 4,-122.4147,47.6422,16,2/6/1997,0,0
Location 4,-122.4147,47.6422,16,2/7/1997,0.1,0
Location 4,-122.4147,47.6422,16,2/8/1997,0.02,0
Location 4,-122.4147,47.6422,16,2/9/1997,0.01,0
Location 4,-122.4147,47.6422,16,2/10/1997,0,0
Location 4,-122.4147,47.6422,16,2/11/1997,0,0
Location 4,-122.4147,47.6422,16,2/12/1997,0.47,0
Location 4,-122.4147,47.6422,16,2/13/1997,0.07,0
Location 4,-122.4147,47.6422,16,2/14/1997,0.21,0
Location 4,-122.4147,47.6422,16,2/15/1997,0.24,0
Location 4,-122.4147,47.6422,16,2/16/1997,0,0
Location 4,-122.4147,47.6422,16,2/17/1997,0.1,0
Location 4,-122.4147,47.6422,16,2/18/1997,0,0
Location 4,-122.4147,47.6422,16,2/19/1997,0.49,0
Location 4,-122.4147,47.6422,16,2/20/1997,0.18,0
Location 4,-122.4147,47.6422,16,2/21/1997,0,0
Location 4,-122.4147,47.6422,16,2/22/1997,0,0
Location 4,-122.4147,47.6422,16,2/23/1997,0,0
Location 4,-122.4147,47.6422,16,2/24/1997,0,0
Location 4,-122.4147,47.6422,16,2/25/1997,0,0
Location 4,-122.4147,47.6422,16,2/26/1997,0.03,0
Location 4,-122.4147,47.6422,16,2/27/1997,0.11,0
Location 4,-122.4147,47.6422,16,2/28/1997,0.01,0
,,,,,,0
Location 5,-122.3876,47.7968,256,12/1/1996,0.29,0
Location 5,-122.3876,47.7968,256,12/2/1996,0.24,0
Location 5,-122.3876,47.7968,256,12/3/1996,0.36,0
Location 5,-122.3876,47.7968,256,12/4/1996,0.1,0
Location 5,-122.3876,47.7968,256,12/5/1996,0.77,0
Location 5,-122.3876,47.7968,256,12/6/1996,0.14,0
Location 5,-122.3876,47.7968,256,12/7/1996,0.27,0
Location 5,-122.3876,47.7968,256,12/8/1996,0.61,0
Location 5,-122.3876,47.7968,256,12/9/1996,0.17,0
Location 5,-122.3876,47.7968,256,12/10/1996,0.23,0
Location 5,-122.3876,47.7968,256,12/11/1996,0.22,0
Location 5,-122.3876,47.7968,256,12/12/1996,0.15,0
Location 5,-122.3876,47.7968,256,12/13/1996,0.24,0
Location 5,-122.3876,47.7968,256,12/14/1996,0.06,0
Location 5,-122.3876,47.7968,256,12/15/1996,0,0
Location 5,-122.3876,47.7968,256,12/16/1996,0.09,0
Location 5,-122.3876,47.7968,256,12/17/1996,0,0
Location 5,-122.3876,47.7968,256,12/18/1996,0,0
Location 5,-122.3876,47.7968,256,12/19/1996,0,0
Location 5,-122.3876,47.7968,256,12/20/1996,0.15,0
Location 5,-122.3876,47.7968,256,12/21/1996,0.16,0
Location 5,-122.3876,47.7968,256,12/22/1996,0.27,0
Location 5,-122.3876,47.7968,256,12/23/1996,0.16,0
Location 5,-122.3876,47.7968,256,12/24/1996,0.22,0
Location 5,-122.3876,47.7968,256,12/25/1996,0.27,0
Location 5,-122.3876,47.7968,256,12/26/1996,0.05,0
Location 5,-122.3876,47.7968,256,12/27/1996,0.83,0
Location 5,-122.3876,47.7968,256,12/28/1996,0.05,0
Location 5,-122.3876,47.7968,256,12/29/1996,0.91,0
Location 5,-122.3876,47.7968,256,12/30/1996,1.34,0
Location 5,-122.3876,47.7968,256,12/31/1996,0.66,0
Location 5,-122.3876,47.7968,256,1/1/1997,0.94,0
Location 5,-122.3876,47.7968,256,1/2/1997,0.84,0
Location 5,-122.3876,47.7968,256,1/3/1997,0.75,0
Location 5,-122.3876,47.7968,256,1/4/1997,0.04,0
Location 5,-122.3876,47.7968,256,1/5/1997,0.02,0
Location 5,-122.3876,47.7968,256,1/6/1997,0.08,0
Location 5,-122.3876,47.7968,256,1/7/1997,0.45,0
Location 5,-122.3876,47.7968,256,1/8/1997,0.14,0
Location 5,-122.3876,47.7968,256,1/9/1997,0.09,0
Location 5,-122.3876,47.7968,256,1/10/1997,0.02,0
Location 5,-122.3876,47.7968,256,1/11/1997,0.02,0
Location 5,-122.3876,47.7968,256,1/12/1997,0,0
Location 5,-122.3876,47.7968,256,1/13/1997,0,0
Location 5,-122.3876,47.7968,256,1/14/1997,0,0
Location 5,-122.3876,47.7968,256,1/15/1997,0,1
Location 5,-122.3876,47.7968,256,1/16/1997,0,0
Location 5,-122.3876,47.7968,256,1/17/1997,0.34,0
Location 5,-122.3876,47.7968,256,1/18/1997,0.52,0
Location 5,-122.3876,47.7968,256,1/19/1997,0.78,0
Location 5,-122.3876,47.7968,256,1/20/1997,0.43,0
Location 5,-122.3876,47.7968,256,1/21/1997,0.34,0
Location 5,-122.3876,47.7968,256,1/22/1997,0.12,0
Location 5,-122.3876,47.7968,256,1/23/1997,0.12,0
Location 5,-122.3876,47.7968,256,1/24/1997,0.09,0
Location 5,-122.3876,47.7968,256,1/25/1997,0,0
Location 5,-122.3876,47.7968,256,1/26/1997,0,0
Location 5,-122.3876,47.7968,256,1/27/1997,0,0
Location 5,-122.3876,47.7968,256,1/28/1997,0.34,0
Location 5,-122.3876,47.7968,256,1/29/1997,0.04,0
Location 5,-122.3876,47.7968,256,1/30/1997,0.41,0
Location 5,-122.3876,47.7968,256,1/31/1997,0.11,0
Location 5,-122.3876,47.7968,256,2/1/1997,0.36,0
Location 5,-122.3876,47.7968,256,2/2/1997,0.19,0
Location 5,-122.3876,47.7968,256,2/3/1997,0.1,0
Location 5,-122.3876,47.7968,256,2/4/1997,0,0
Location 5,-122.3876,47.7968,256,2/5/1997,0,0
Location 5,-122.3876,47.7968,256,2/6/1997,0,0
Location 5,-122.3876,47.7968,256,2/7/1997,0.07,0
Location 5,-122.3876,47.7968,256,2/8/1997,0.01,0
Location 5,-122.3876,47.7968,256,2/9/1997,0,0
Location 5,-122.3876,47.7968,256,2/10/1997,0,0
Location 5,-122.3876,47.7968,256,2/11/1997,0.04,0
Location 5,-122.3876,47.7968,256,2/12/1997,0.37,0
Location 5,-122.3876,47.7968,256,2/13/1997,0.14,0
Location 5,-122.3876,47.7968,256,2/14/1997,0.28,0
Location 5,-122.3876,47.7968,256,2/15/1997,0.39,0
Location 5,-122.3876,47.7968,256,2/16/1997,0,0
Location 5,-122.3876,47.7968,256,2/17/1997,0.11,0
Location 5,-122.3876,47.7968,256,2/18/1997,0.08,0
Location 5,-122.3876,47.7968,256,2/19/1997,0.31,0
Location 5,-122.3876,47.7968,256,2/20/1997,0.2,0
Location 5,-122.3876,47.7968,256,2/21/1997,0.01,0
Location 5,-122.3876,47.7968,256,2/22/1997,0,0
Location 5,-122.3876,47.7968,256,2/23/1997,0,0
